sampleId,wavelengthNm,qDir
ALT020,355,11782804578797.54
ALT020,356,10883736640820.307
ALT020,357,9179634370167.596
ALT020,358,8837540880875.682
ALT020,359,9864483750092.713
ALT020,360,12839078327257.236
ALT020,361,11390931045880.793
ALT020,362,11889364963095.18
ALT020,363,13626677899205.654
ALT020,364,13973026483359.92
ALT020,365,14652154175147.553
ALT020,366,17594302723325.637
ALT020,367,17621371136957.305
ALT020,368,16594114011402.594
ALT020,369,17529619586616.74
ALT020,370,19422483535171
ALT020,371,18141312283575.406
ALT020,372,17974368976107.996
ALT020,373,16771800481385.14
ALT020,374,15334278881930.615
ALT020,375,16516718288729.14
ALT020,376,19254148639165.902
ALT020,377,20666404938883.53
ALT020,378,25264948510701.6
ALT020,379,22355896334133.43
ALT020,380,21439000758907.996
ALT020,381,23716817067562.566
ALT020,382,18485143908280.91
ALT020,383,14541513601580.506
ALT020,384,16539544343602.35
ALT020,385,22185423198866.023
ALT020,386,20747693003790.723
ALT020,387,22087228304282.35
ALT020,388,21879907702913.848
ALT020,389,23932354320355.957
ALT020,390,28226410304999.824
ALT020,391,30585502127561.16
ALT020,392,28982561860624.348
ALT020,393,17723874309875.98
ALT020,394,18563037765512.33
ALT020,395,30667882180365.293
ALT020,396,29133357237045.914
ALT020,397,16618443519145.203
ALT020,398,33723360469370.332
ALT020,399,42816192543991.336
ALT020,400,45240844538366.414
ALT025,290,3.172967560615041
ALT025,291,120.54157720275997
ALT025,292,2710.331144954135
ALT025,293,16272.606279637746
ALT025,294,242597.37494163227
ALT025,295,1298585.3573941574
ALT025,296,11158930.298087541
ALT025,297,32950614.45530033
ALT025,298,172129022.24733582
ALT025,299,432772649.2350625
ALT025,300,1293246424.3788476
ALT025,301,3862351476.90394
ALT025,302,7446888118.444284
ALT025,303,22349571232.63317
ALT025,304,36121897012.289215
ALT025,305,81723258855.15465
ALT025,306,106377003669.9105
ALT025,307,167643660558.97028
ALT025,308,275809741309.793
ALT025,309,320745483911.6477
ALT025,310,441364666664.02576
ALT025,311,772246954588.2052
ALT025,312,936848985583.5413
ALT025,313,1159446255631.0583
ALT025,314,1316566840116.6514
ALT025,315,1643212859566.3274
ALT025,316,1531966664447.9717
ALT025,317,2292743845050.432
ALT025,318,2412715426650.5938
ALT025,319,2941067960212.4644
ALT025,320,2982509526579.4243
ALT025,321,3847348182628.3516
ALT025,322,3554883153044.7144
ALT025,323,3379335457477.7207
ALT025,324,4742546749816.07
ALT025,325,4725955093661.176
ALT025,326,6724918799797.575
ALT025,327,7475531496280.895
ALT025,328,6493814709124.841
ALT025,329,8104340479571.199
ALT025,330,9487091394330.623
ALT025,331,8259411659886.774
ALT025,332,9009268370487.414
ALT025,333,9153275249525.846
ALT025,334,8959692582499.58
ALT025,335,10292210826855.193
ALT025,336,9455178851652.564
ALT025,337,8795014454219.476
ALT025,338,10271971451874.41
ALT025,339,11255016252890.812
ALT025,340,12504638192604.094
ALT025,341,11905607794969.54
ALT025,342,12632238649846.129
ALT025,343,13555311702325.87
